year,ssb_ratio,ssb_t,low_ssb_ratio,high_ssb_ratio,recruitment_thousands,F_ratio,catches_t
1982,1.16434613857349,1203933.9072849886,0.84050677227415,1.99990546781231,43460851.8300424,1.0077917930657,273134.0
1983,1.17885357926073,1218934.6009555948,0.863766006102475,2.02599952061161,54945097.6054383,1.21549709825724,307601.0
1984,1.02457836479279,1059414.0291957448,0.761591682720243,1.77885899290926,39468750.6170817,1.22616379428967,277926.0
1985,0.990677089475522,1024360.1105176897,0.743601953006009,1.72546034912574,15185332.9856609,1.29313609701251,275760.0
1986,0.863632358693953,892995.8588895474,0.654563367039614,1.50853878336945,37055976.1292539,1.25326188610058,240516.0
1987,0.841569872473676,870183.2481377809,0.641150528610965,1.47216328618994,11099406.8583516,1.37592946493124,255498.0
1988,0.888683730776003,918898.9776223871,0.673796423140182,1.55934073691465,18574883.3950648,1.44553947954477,262558.0
1989,0.802844091294665,830140.7903986836,0.61531578581096,1.42048618876683,19954671.4123498,1.68541036419119,276066.0
1990,0.648562439236337,670613.5621703725,0.489236722295496,1.17300326780731,12166854.6697343,1.6653120004636,227617.0
1991,0.643874738021209,665766.4791139301,0.48896854483046,1.17598166857061,18289198.7429809,1.50640759569652,197610.0
1992,0.590279506669842,610349.0098966166,0.446538315107128,1.06871423137114,16260620.147428,1.42137855659643,190258.0
1993,0.614729690515655,635630.4999931873,0.458311487939122,1.08564859358493,12554009.5224201,1.6130992087743,212101.0
1994,0.635847852476199,657466.6794603898,0.47512280725472,1.13703292157425,17748613.0616606,1.61637395378763,218116.0
1995,0.528679679454626,546654.7885560833,0.398096655886032,0.937543617105729,15421515.4532344,1.66502999613912,187409.0
1996,0.451401096604163,466748.73388870456,0.341914645566185,0.803939905330008,7926349.64700982,1.60042456387794,161148.0
1997,0.428152110740587,442709.28250576695,0.324278126987378,0.766669739480077,14228926.4372312,1.70536297320619,159056.0
1998,0.418208346463074,432427.4302428185,0.314195202368576,0.751188114255486,6388313.96850007,2.09909139164202,184140.0
1999,0.357802664918545,369967.95552577556,0.263453779159409,0.660676817829384,20475593.9097811,1.8641981793347,145717.0
2000,0.385766704340454,398882.77228802943,0.273746862299832,0.730335389071673,11226759.1095621,2.17739562166246,174301.0
2001,0.355312788024532,367393.4228173661,0.246312119539762,0.70395122614473,12599454.6941313,1.89263675760681,137080.0
2002,0.350794923055532,362721.9504394201,0.241955110637963,0.714202025248994,27869671.8524452,1.69660342210092,128344.0
2003,0.374245639909631,386969.99166655843,0.256373200135855,0.781134066482527,13518237.611978,1.32322120637481,112118.0
2004,0.384864626549806,397950.02385249943,0.261794082927472,0.799979193269325,8801828.57877807,1.03576572601052,95151.0
2005,0.432134193774565,446826.75636290025,0.293618861548013,0.877918565145957,17777587.5944675,0.93394003643739,91094.0
2006,0.46558628641826,481416.22015648085,0.319505824348582,0.932716644240412,13788773.926488,1.06910108258163,113536.0
2007,0.482519551023402,498925.21575819765,0.329679651158419,0.949346820597915,30396757.7877981,0.991490765791826,115790.0
2008,0.474113137070954,490232.9837313664,0.32625790291892,0.932025578118217,18967580.7798712,1.08415334873117,126363.0
2009,0.560254404821621,579303.0545855562,0.383056072679185,1.10181249817345,15542149.8360321,1.1858402398853,135659.0
2010,0.518082972023634,535697.7930724375,0.357068726819678,1.01365196770402,8567557.50359788,1.20377761483123,137189.0
2011,0.479383180032157,495682.20815325034,0.333149888883847,0.945294145300426,22906474.408906,1.1063554889598,118563.0
2012,0.477418752519355,493650.9901050131,0.336438432624461,0.943160899441608,20988773.6935819,0.81074991272221,101526.0
2013,0.546109604868185,564677.3314337033,0.385458913484922,1.07046621630473,13879268.3934656,0.76727088036059,100484.0
2014,0.604282774615596,624828.3889525263,0.430451204045686,1.15465586097497,50982827.664756,1.00452665431391,134482.0
2015,0.551247637682277,569990.0573634744,0.396591469484894,1.03651822992589,12101985.5873534,1.35159895593981,174945.0
2016,0.57966504833198,599373.6599752672,0.419331689685003,1.082055611423,14026096.5081813,1.59260040356194,190641.0
2017,0.620447098489372,641542.2998380106,0.449897865952721,1.16354489392036,14188278.2166229,1.52878991709331,199428.0
2018,0.602433564526828,622916.3057207401,0.438357319708231,1.12271059507889,7751012.1487748,1.99613457093925,240738.0
2019,0.512267272402169,529684.3596638427,0.371848947175914,0.975345315133458,17735135.1525866,1.85156010991358,200956.0
2020,0.410816645576466,424784.41152606584,0.294121376529259,0.795415757794173,7263307.00599222,1.90550226543918,174521.0
2021,0.365000486912038,377410.5034670473,0.252139011041661,0.728263398408207,6653759.52815823,1.68902452005344,128961.0
2022,0.399002050608232,412568.12032891193,0.268545589325512,0.803062796756472,18711031.740686,0.906217614164898,83411.0
2023,0.390364445523997,403636.8366718129,0.257745141409187,0.76102921789276,18544632.3312825,,
